"DataSet","Location_ID","UpperDepth","LowerDepth","OrigPropertyCode","ObservedProperty","Value","Units"
"QLDGovernment","ABS_69_1",0.5,0.6,"15C1_CEC","15C1_CEC","36","meq/100g"
"QLDGovernment","ABS_69_1",0.5,0.6,"15C1_K","15C1_K","0.4000","meq/100g"
"QLDGovernment","ABS_69_1",0.5,0.6,"15C1_Mg",NA,"17","None"
"QLDGovernment","ABS_69_1",0.5,0.6,"15C1_Na",NA,"4","None"
"QLDGovernment","ABS_69_1",0.5,0.6,"17A1","17A1","1.4600","%"
"QLDGovernment","ABS_69_1",0.5,0.6,"2A1","2A1","5","%"
"QLDGovernment","ABS_69_1",0.5,0.6,"2E1","2E1","21","NA"
"QLDGovernment","ABS_69_1",0.5,0.6,"2E2","2E2","39","NA"
"QLDGovernment","ABS_69_1",0.5,0.6,"2Z2_Clay","2Z2_Clay","56","%"
"QLDGovernment","ABS_69_1",0.5,0.6,"2Z2_CS","2Z2_CS","1","%"
"QLDGovernment","ABS_69_1",0.5,0.6,"2Z2_FS","2Z2_FS","25","%"
"QLDGovernment","ABS_69_1",0.5,0.6,"2Z2_Silt","2Z2_Silt","20","%"
"QLDGovernment","ABS_69_1",0.5,0.6,"2Z2_sum",NA,"102","None"
"QLDGovernment","ABS_69_1",0.5,0.6,"3A1","3A1","0.2900","dS/m"
"QLDGovernment","ABS_69_1",0.5,0.6,"4A1","4A1","9.2000","NA"
"QLDGovernment","ABS_69_1",0.5,0.6,"5A2","5A2","180","mg/kg"
"QLDGovernment","ABS_69_1",0.5,0.6,"9A1","9A1","0.0190","%"
"QLDGovernment","ABS_69_1",0.8,0.9,"10A1","10A1","0.0300","%"
"QLDGovernment","ABS_69_1",0.8,0.9,"15C1_Ca",NA,"12","None"
"QLDGovernment","ABS_69_1",0.8,0.9,"15C1_CEC","15C1_CEC","30","meq/100g"
"QLDGovernment","ABS_69_1",0.8,0.9,"15C1_K","15C1_K","0.2000","meq/100g"
"QLDGovernment","ABS_69_1",0.8,0.9,"15C1_Mg",NA,"15","None"
"QLDGovernment","ABS_69_1",0.8,0.9,"15C1_Na",NA,"5.7000","None"
"QLDGovernment","ABS_69_1",0.8,0.9,"17A1","17A1","1.4100","%"
"QLDGovernment","ABS_69_1",0.8,0.9,"2A1","2A1","5.5000","%"
"QLDGovernment","ABS_69_1",0.8,0.9,"2E1","2E1","14","NA"
"QLDGovernment","ABS_69_1",0.8,0.9,"2E2","2E2","29","NA"
"QLDGovernment","ABS_69_1",0.8,0.9,"2Z2_Clay","2Z2_Clay","38","%"
"QLDGovernment","ABS_69_1",0.8,0.9,"2Z2_CS","2Z2_CS","2","%"
"QLDGovernment","ABS_69_1",0.8,0.9,"2Z2_FS","2Z2_FS","42","%"
"QLDGovernment","ABS_69_1",0.8,0.9,"2Z2_Silt","2Z2_Silt","20","%"
"QLDGovernment","ABS_69_1",0.8,0.9,"2Z2_sum",NA,"102","None"
"QLDGovernment","ABS_69_1",0.8,0.9,"3A1","3A1","0.5700","dS/m"
"QLDGovernment","ABS_69_1",0.8,0.9,"4A1","4A1","9.5000","NA"
"QLDGovernment","ABS_69_1",0.8,0.9,"5A2","5A2","460","mg/kg"
"QLDGovernment","ABS_69_1",0.8,0.9,"9A1","9A1","0.0280","%"
"QLDGovernment","ABS_69_1",1.1,1.2,"10A1","10A1","0.0300","%"
"QLDGovernment","ABS_69_1",1.1,1.2,"15C1_Ca",NA,"12","None"
"QLDGovernment","ABS_69_1",1.1,1.2,"15C1_CEC","15C1_CEC","30","meq/100g"
"QLDGovernment","ABS_69_1",1.1,1.2,"15C1_K","15C1_K","0.2000","meq/100g"
"QLDGovernment","ABS_69_1",1.1,1.2,"15C1_Mg",NA,"15","None"
"QLDGovernment","ABS_69_1",1.1,1.2,"15C1_Na",NA,"6.6000","None"
"QLDGovernment","ABS_69_1",1.1,1.2,"17A1","17A1","1.6800","%"
"QLDGovernment","ABS_69_1",1.1,1.2,"2A1","2A1","4.5000","%"
"QLDGovernment","ABS_69_1",1.1,1.2,"2Z2_Clay","2Z2_Clay","39","%"
"QLDGovernment","ABS_69_1",1.1,1.2,"2Z2_CS","2Z2_CS","1","%"
"QLDGovernment","ABS_69_1",1.1,1.2,"2Z2_FS","2Z2_FS","38","%"
"QLDGovernment","ABS_69_1",1.1,1.2,"2Z2_Silt","2Z2_Silt","26","%"
"QLDGovernment","ABS_69_1",1.1,1.2,"2Z2_sum",NA,"104","None"
"QLDGovernment","ABS_69_1",1.1,1.2,"3A1","3A1","0.9200","dS/m"
"QLDGovernment","ABS_69_1",1.1,1.2,"4A1","4A1","9.2000","NA"
"QLDGovernment","ABS_69_1",1.1,1.2,"5A2","5A2","870","mg/kg"
"QLDGovernment","ABS_69_1",1.1,1.2,"9A1","9A1","0.0360","%"
"NatSoil","399_RR_B270_1",0,0.14,"15_NR_CA","15_NR_CA","6","meq/100g"
"NatSoil","399_RR_B270_1",0,0.14,"15_NR_H","15_NR_H","10.2","meq/100g"
"NatSoil","399_RR_B270_1",0,0.14,"15_NR_K","15_NR_K","0.86","meq/100g"
"NatSoil","399_RR_B270_1",0,0.14,"15_NR_MG","15_NR_MG","3.5","meq/100g"
"NatSoil","399_RR_B270_1",0,0.14,"15_NR_NA","15_NR_NA","0.39","meq/100g"
"NatSoil","399_RR_B270_1",0,0.14,"2A1","2A1","2.7","%"
"NatSoil","399_RR_B270_1",0,0.14,"3_NR","3_NR","0.01","?"
"NatSoil","399_RR_B270_1",0,0.14,"4_NR","4_NR","6.4","None"
"NatSoil","399_RR_B270_1",0,0.14,"5_NR","5_NR","0.004","%"
"NatSoil","399_RR_B270_1",0,0.14,"6A1","6A1","1.42","%"
"NatSoil","399_RR_B270_1",0,0.14,"7_NR","7_NR","0.12","%"
"NatSoil","399_RR_B270_1",0,0.14,"9A_NR","9A_NR","0.082","%"
"NatSoil","399_RR_B270_1",0,0.14,"9_NR","9_NR","27","mg/kg"
"NatSoil","399_RR_B270_1",0,0.14,"P10_GRAV","P10_GRAV","0","%"
"NatSoil","399_RR_B270_1",0,0.14,"P10_NR_C","P10_NR_C","24","%"
"NatSoil","399_RR_B270_1",0,0.14,"P10_NR_CS","P10_NR_CS","22","%"
"NatSoil","399_RR_B270_1",0,0.14,"P10_NR_FS","P10_NR_FS","42","%"
"NatSoil","399_RR_B270_1",0,0.14,"P10_NR_Z","P10_NR_Z","11","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"15_NR_CA","15_NR_CA","7","meq/100g"
"NatSoil","399_RR_B270_1",0.16,0.38,"15_NR_H","15_NR_H","5.8","meq/100g"
"NatSoil","399_RR_B270_1",0.16,0.38,"15_NR_K","15_NR_K","0.3","meq/100g"
"NatSoil","399_RR_B270_1",0.16,0.38,"15_NR_MG","15_NR_MG","10.5","meq/100g"
"NatSoil","399_RR_B270_1",0.16,0.38,"15_NR_NA","15_NR_NA","3.6","meq/100g"
"NatSoil","399_RR_B270_1",0.16,0.38,"2A1","2A1","6.8","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"3_NR","3_NR","0.06","?"
"NatSoil","399_RR_B270_1",0.16,0.38,"4_NR","4_NR","7.8","None"
"NatSoil","399_RR_B270_1",0.16,0.38,"5_NR","5_NR","0.016","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"6A1","6A1","0.83","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"7_NR","7_NR","0.092","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"P10_GRAV","P10_GRAV","0","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"P10_NR_C","P10_NR_C","54","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"P10_NR_CS","P10_NR_CS","13","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"P10_NR_FS","P10_NR_FS","26","%"
"NatSoil","399_RR_B270_1",0.16,0.38,"P10_NR_Z","P10_NR_Z","6","%"
"NatSoil","399_RR_B270_1",0.41,0.56,"19B_NR","19B_NR","0.13","%"
"NatSoil","399_RR_B270_1",0.41,0.56,"2A1","2A1","6.7","%"
"NatSoil","399_RR_B270_1",0.41,0.56,"3_NR","3_NR","0.18","?"
"NatSoil","399_RR_B270_1",0.41,0.56,"4_NR","4_NR","8.8","None"
"NatSoil","399_RR_B270_1",0.41,0.56,"5_NR","5_NR","0.076","%"
"NatSoil","399_RR_B270_1",0.41,0.56,"6A1","6A1","0.49","%"
"NatSoil","399_RR_B270_1",0.41,0.56,"7_NR","7_NR","0.065","%"
"NatSoil","399_RR_B270_1",0.41,0.56,"9A_NR","9A_NR","0.053","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"15_NR_CA","15_NR_CA","4.9","meq/100g"
"NatSoil","399_RR_B270_1",0.61,1.07,"15_NR_K","15_NR_K","0.43","meq/100g"
"NatSoil","399_RR_B270_1",0.61,1.07,"15_NR_MG","15_NR_MG","11.5","meq/100g"
"NatSoil","399_RR_B270_1",0.61,1.07,"15_NR_NA","15_NR_NA","7.4","meq/100g"
"NatSoil","399_RR_B270_1",0.61,1.07,"19B_NR","19B_NR","6.67","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"2A1","2A1","6.5","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"3_NR","3_NR","0.41","?"
"NatSoil","399_RR_B270_1",0.61,1.07,"4_NR","4_NR","9.1","None"
"NatSoil","399_RR_B270_1",0.61,1.07,"5_NR","5_NR","0.169","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"6A1","6A1","0.15","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"7_NR","7_NR","0.026","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"P10_GRAV","P10_GRAV","0","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"P10_NR_C","P10_NR_C","49","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"P10_NR_CS","P10_NR_CS","13","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"P10_NR_FS","P10_NR_FS","23","%"
"NatSoil","399_RR_B270_1",0.61,1.07,"P10_NR_Z","P10_NR_Z","8","%"
"NatSoil","399_RR_B270_1",1.07,1.68,"19B_NR","19B_NR","0.27","%"
"NatSoil","399_RR_B270_1",1.07,1.68,"2A1","2A1","5.4","%"
"NatSoil","399_RR_B270_1",1.07,1.68,"3_NR","3_NR","0.29","?"
"NatSoil","399_RR_B270_1",1.07,1.68,"4_NR","4_NR","9","None"
"NatSoil","399_RR_B270_1",1.07,1.68,"5_NR","5_NR","0.128","%"
"NatSoil","399_RR_B270_1",1.07,1.68,"9_NR","9_NR","2","mg/kg"
"NatSoil","399_RR_B270_1",1.07,1.68,"P10_GRAV","P10_GRAV","0","%"
"NatSoil","399_RR_B270_1",1.07,1.68,"P10_NR_C","P10_NR_C","47","%"
"NatSoil","399_RR_B270_1",1.07,1.68,"P10_NR_CS","P10_NR_CS","25","%"
"NatSoil","399_RR_B270_1",1.07,1.68,"P10_NR_FS","P10_NR_FS","20","%"
"NatSoil","399_RR_B270_1",1.07,1.68,"P10_NR_Z","P10_NR_Z","7","%"
"QLDGovernment","ABS_70_1",0,0.1,"10A1","10A1","0.0600","%"
"QLDGovernment","ABS_70_1",0,0.1,"15C1_Ca",NA,"21","None"
"QLDGovernment","ABS_70_1",0,0.1,"15C1_CEC","15C1_CEC","25","meq/100g"
"QLDGovernment","ABS_70_1",0,0.1,"15C1_K","15C1_K","1.2000","meq/100g"
"QLDGovernment","ABS_70_1",0,0.1,"15C1_Mg",NA,"3.2000","None"
"QLDGovernment","ABS_70_1",0,0.1,"15C1_Na",NA,"0.2100","None"
"QLDGovernment","ABS_70_1",0,0.1,"17A1","17A1","1.3500","%"
"QLDGovernment","ABS_70_1",0,0.1,"18B1","18B1","1.1000","mg/kg"
"QLDGovernment","ABS_70_1",0,0.1,"2A1","2A1","3.3000","%"
"QLDGovernment","ABS_70_1",0,0.1,"2E1","2E1","15","NA"
"QLDGovernment","ABS_70_1",0,0.1,"2E2","2E2","27","NA"
"QLDGovernment","ABS_70_1",0,0.1,"2Z2_Clay","2Z2_Clay","37","%"
"QLDGovernment","ABS_70_1",0,0.1,"2Z2_CS","2Z2_CS","5","%"
"QLDGovernment","ABS_70_1",0,0.1,"2Z2_FS","2Z2_FS","43","%"
"QLDGovernment","ABS_70_1",0,0.1,"2Z2_Silt","2Z2_Silt","16","%"
"QLDGovernment","ABS_70_1",0,0.1,"2Z2_sum",NA,"101","None"
"QLDGovernment","ABS_70_1",0,0.1,"3A1","3A1","0.0700","dS/m"
"QLDGovernment","ABS_70_1",0,0.1,"4A1","4A1","7.2000","NA"
"QLDGovernment","ABS_70_1",0,0.1,"5A2","5A2","20","mg/kg"
"QLDGovernment","ABS_70_1",0,0.1,"6A1","6A1","3.7000","%"
"QLDGovernment","ABS_70_1",0,0.1,"7A2","7A2","0.3700","%"
"QLDGovernment","ABS_70_1",0,0.1,"9A1","9A1","0.1030","%"
"QLDGovernment","ABS_70_1",0,0.1,"9B2","9B2","15","mg/kg"
"QLDGovernment","ABS_70_1",0,0.1,"9G2","9G2","27","mg/kg"
"QLDGovernment","ABS_70_1",0.1,0.2,"18B1","18B1","0.5000","mg/kg"
"QLDGovernment","ABS_70_1",0.1,0.2,"2A1","2A1","4.7000","%"
"QLDGovernment","ABS_70_1",0.1,0.2,"3A1","3A1","0.0500","dS/m"
"QLDGovernment","ABS_70_1",0.1,0.2,"4A1","4A1","7.4000","NA"
"QLDGovernment","ABS_70_1",0.1,0.2,"5A2","5A2","20","mg/kg"
"QLDGovernment","ABS_70_1",0.1,0.2,"6A1","6A1","2.8000","%"
"QLDGovernment","ABS_70_1",0.1,0.2,"7A2","7A2","0.2800","%"
"QLDGovernment","ABS_70_1",0.1,0.2,"9B2","9B2","21","mg/kg"
"QLDGovernment","ABS_70_1",0.1,0.2,"9G2","9G2","17","mg/kg"
"QLDGovernment","ABS_70_1",0.2,0.3,"10A1","10A1","0.0300","%"
"QLDGovernment","ABS_70_1",0.2,0.3,"15C1_Ca",NA,"14","None"
"QLDGovernment","ABS_70_1",0.2,0.3,"15C1_CEC","15C1_CEC","15","meq/100g"
"QLDGovernment","ABS_70_1",0.2,0.3,"15C1_K","15C1_K","0.3800","meq/100g"
"QLDGovernment","ABS_70_1",0.2,0.3,"15C1_Mg",NA,"3.9000","None"
"QLDGovernment","ABS_70_1",0.2,0.3,"15C1_Na",NA,"0.3400","None"
"QLDGovernment","ABS_70_1",0.2,0.3,"17A1","17A1","1.2800","%"
"QLDGovernment","ABS_70_1",0.2,0.3,"2A1","2A1","3.2000","%"
"QLDGovernment","ABS_70_1",0.2,0.3,"2E1","2E1","12","NA"
"QLDGovernment","ABS_70_1",0.2,0.3,"2E2","2E2","22","NA"
"QLDGovernment","ABS_70_1",0.2,0.3,"2Z2_Clay","2Z2_Clay","36","%"
"QLDGovernment","ABS_70_1",0.2,0.3,"2Z2_CS","2Z2_CS","12","%"
"QLDGovernment","ABS_70_1",0.2,0.3,"2Z2_FS","2Z2_FS","43","%"
"QLDGovernment","ABS_70_1",0.2,0.3,"2Z2_Silt","2Z2_Silt","11","%"
"QLDGovernment","ABS_70_1",0.2,0.3,"2Z2_sum",NA,"102","None"
"QLDGovernment","ABS_70_1",0.2,0.3,"3A1","3A1","0.0500","dS/m"
"QLDGovernment","ABS_70_1",0.2,0.3,"4A1","4A1","7.6000","NA"
"QLDGovernment","ABS_70_1",0.2,0.3,"5A2","5A2","20","mg/kg"
"QLDGovernment","ABS_70_1",0.2,0.3,"9A1","9A1","0.0750","%"
"QLDGovernment","ABS_70_1",0.5,0.6,"10A1","10A1","0.0100","%"
"QLDGovernment","ABS_70_1",0.5,0.6,"15C1_Ca",NA,"15","None"
"QLDGovernment","ABS_70_1",0.5,0.6,"15C1_CEC","15C1_CEC","24","meq/100g"
"QLDGovernment","ABS_70_1",0.5,0.6,"15C1_K","15C1_K","0.2000","meq/100g"
"QLDGovernment","ABS_70_1",0.5,0.6,"15C1_Mg",NA,"9.8000","None"
"QLDGovernment","ABS_70_1",0.5,0.6,"15C1_Na",NA,"1.1000","None"
"QLDGovernment","ABS_70_1",0.5,0.6,"17A1","17A1","1.5500","%"
"QLDGovernment","ABS_70_1",0.5,0.6,"2A1","2A1","4.7000","%"
"QLDGovernment","ABS_70_1",0.5,0.6,"2E1","2E1","16","NA"
"QLDGovernment","ABS_70_1",0.5,0.6,"2E2","2E2","29","NA"
"QLDGovernment","ABS_70_1",0.5,0.6,"2Z2_Clay","2Z2_Clay","47","%"
"QLDGovernment","ABS_70_1",0.5,0.6,"2Z2_CS","2Z2_CS","9","%"
"QLDGovernment","ABS_70_1",0.5,0.6,"2Z2_FS","2Z2_FS","34","%"
"QLDGovernment","ABS_70_1",0.5,0.6,"2Z2_Silt","2Z2_Silt","11","%"
"QLDGovernment","ABS_70_1",0.5,0.6,"2Z2_sum",NA,"101","None"
"QLDGovernment","ABS_70_1",0.5,0.6,"3A1","3A1","0.1300","dS/m"
"QLDGovernment","ABS_70_1",0.5,0.6,"4A1","4A1","8.8000","NA"
"QLDGovernment","ABS_70_1",0.5,0.6,"5A2","5A2","20","mg/kg"
"QLDGovernment","ABS_70_1",0.5,0.6,"9A1","9A1","0.0190","%"
